,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,Class
V11,-0.451897965,0.576847353,-0.686210094,0.775585338,-0.513422718,-0.621068949,-0.549734889,0.308655518,-0.529262249,-0.635980229,1,-0.894190536,0.366542956,-0.853661052,-0.137598908,-0.728435482,-0.619928927,-0.58419122,0.465100784,0.055284096,0.03904993,0.210690636,0.002534731,-0.082686489,-0.305967475,0.254273209,0.104833527,-0.368284061,-0.392951782,-0.336859254,
V12,0.652639237,-0.707898995,0.803343118,-0.819386477,0.727882527,0.608409504,0.74445531,-0.25119588,0.674716215,0.832107661,-0.894190536,1,-0.393717824,0.819605557,0.20852249,0.902491264,0.821200236,0.797347884,-0.620110096,-0.063986009,0.036779586,-0.446046847,-0.031079732,-0.179285047,0.409865784,-0.129520828,0.211421591,0.500065507,0.285036748,0.276044775,
V13,-0.18286854,0.114138358,-0.219539268,0.333214195,-0.250474433,-0.285885096,-0.235852621,0.358204435,-0.260965234,-0.274769268,0.366542956,-0.393717824,1,-0.320168,0.095603085,-0.472416771,-0.492623238,-0.409662773,0.517506727,-0.0130954,0.248627129,0.221943213,-0.177282063,0.060168777,-0.291950584,0.002344227,0.214712116,-0.260379645,-0.007330505,-0.296242325,
V14,0.284250962,-0.423220851,0.533342007,-0.699668185,0.341975879,0.692933004,0.362842713,-0.403623136,0.37902052,0.499816043,-0.853661052,0.819605557,-0.320168,1,-0.050230164,0.658319151,0.511065115,0.455895736,-0.487357277,0.089891192,-0.214361379,-0.070419197,0.156270235,0.195110282,0.136772018,-0.235434407,-0.124116188,0.175312403,0.406678097,0.191975907,
V15,0.253882663,-0.445914382,0.344608784,-0.327309167,0.26859459,-0.159648698,0.3581654,0.335467069,0.353580605,0.316203009,-0.137598908,0.20852249,0.095603085,-0.050230164,1,0.047684021,0.088769878,0.111645707,0.22514084,-0.182679609,0.446680849,-0.328965083,-0.234083814,-0.044302237,0.206788625,-0.063319857,0.300364599,0.324557846,0.279583465,-0.249230805,
V16,0.699053494,-0.652048176,0.740591327,-0.625393903,0.818967998,0.51318724,0.77344245,-0.340546276,0.653195532,0.843144872,-0.728435482,0.902491264,-0.472416771,0.658319151,0.047684021,1,0.969371031,0.951187631,-0.841690728,-0.029188446,-0.040127991,-0.453324619,0.038332718,-0.390688033,0.442627425,0.051901745,0.257588449,0.479749735,0.172753679,0.230032442,
V17,0.727812957,-0.643139963,0.711205351,-0.557173809,0.851218526,0.397099448,0.781765998,-0.323755458,0.670053636,0.810176522,-0.619928927,0.821200236,-0.492623238,0.511065115,0.088769878,0.969371031,1,0.987590903,-0.818965724,-0.033112284,-0.017367778,-0.454380683,0.010028298,-0.441004823,0.480158665,0.04824308,0.29243819,0.496702099,0.085076986,0.191774308,
V18,0.777698971,-0.689140349,0.74164543,-0.548386596,0.888561286,0.343805738,0.822599848,-0.250681354,0.7125572,0.840442805,-0.58419122,0.797347884,-0.409662773,0.455895736,0.111645707,0.951187631,0.987590903,1,-0.775319672,-0.051066224,0.073358354,-0.482306518,-0.025613457,-0.465455279,0.466699451,0.056910688,0.343904296,0.553661495,0.086862827,0.193992159,
V19,-0.441453939,0.336870212,-0.437511203,0.352241844,-0.586316449,-0.390362007,-0.511078964,0.41824002,-0.409613797,-0.56809793,0.465100784,-0.620110096,0.517506727,-0.487357277,0.22514084,-0.841690728,-0.818965724,-0.775319672,1,-0.070037972,0.237265338,0.241849442,-0.098692962,0.424456692,-0.379451172,0.003812479,-0.162248822,-0.249420241,-0.065991894,-0.079874091,
V20,-0.335000095,0.415495648,-0.292178394,0.364327261,-0.234304802,0.38350208,-0.416731144,-0.602541222,-0.425678271,-0.276485928,0.055284096,-0.063986009,-0.0130954,0.089891192,-0.182679609,-0.029188446,-0.033112284,-0.051066224,-0.070037972,1,-0.733872309,0.527459146,0.68419282,-0.214903909,-0.168626049,-0.186096314,-0.110918979,-0.082755191,0.008454694,-0.265224297,
V21,0.482338669,-0.564769099,0.426197794,-0.383363168,0.334223803,-0.460446453,0.544830924,0.861268271,0.564376987,0.393636577,0.03904993,0.036779586,0.248627129,-0.214361379,0.446680849,-0.040127991,-0.017367778,0.073358354,0.237265338,-0.733872309,1,-0.671723865,-0.620708607,0.068215186,0.224406362,0.146090138,0.489454138,0.447644299,0.173716474,-0.04086018,
V22,-0.597935736,0.580764109,-0.540107148,0.542054155,-0.544102138,0.158624796,-0.714333075,-0.557942482,-0.634552859,-0.644737002,0.210690636,-0.446046847,0.221943213,-0.070419197,-0.328965083,-0.453324619,-0.454380683,-0.482306518,0.241849442,0.527459146,-0.671723865,1,0.478156978,0.23551887,-0.557694835,-0.27284969,-0.591603596,-0.569389209,-0.147491233,-0.039504274,
V23,-0.242182463,0.232323621,-0.182478497,0.313881084,-0.137311865,0.519480735,-0.27918287,-0.579169469,-0.303861256,-0.130442084,0.002534731,-0.031079732,-0.177282063,0.156270235,-0.234083814,0.038332718,0.010028298,-0.025613457,-0.098692962,0.68419282,-0.620708607,0.478156978,1,-0.313440547,-0.294707217,0.178394722,-0.084429424,-0.199701477,0.210524891,-0.094239142,
V24,-0.410234465,0.24687905,-0.238541933,-0.087142143,-0.507588425,-0.24273624,-0.36964065,0.172919924,-0.219041916,-0.394998223,-0.082686489,-0.179285047,0.060168777,0.195110282,-0.044302237,-0.390688033,-0.441004823,-0.465455279,0.424456692,-0.214903909,0.068215186,0.23551887,-0.313440547,1,-0.097895406,-0.322410215,-0.603681071,-0.246255496,0.130834957,-0.043955076,
V25,0.231418931,-0.23705595,0.231249356,-0.339475963,0.300490025,-0.187969128,0.395897603,0.263872149,0.330007118,0.360007235,-0.305967475,0.409865784,-0.291950584,0.136772018,0.206788625,0.442627425,0.480158665,0.466699451,-0.379451172,-0.168626049,0.224406362,-0.557694835,-0.294707217,-0.097895406,1,-0.007070366,0.304340074,0.299467494,0.05317198,-0.042195626,
V26,0.175237949,-0.03850809,0.006464803,0.251512284,0.156110539,-0.047873453,0.133806216,0.094127134,-0.080462648,0.15450177,0.254273209,-0.129520828,0.002344227,-0.235434407,-0.063319857,0.051901745,0.04824308,0.056910688,0.003812479,-0.186096314,0.146090138,-0.27284969,0.178394722,-0.322410215,-0.007070366,1,0.284331636,0.073687116,-0.134453606,0.046864851,
V27,0.535468546,-0.484048801,0.428543295,-0.203941655,0.519664046,-0.021112329,0.55543625,0.426295506,0.478876631,0.531179166,0.104833527,0.211421591,0.214712116,-0.124116188,0.300364599,0.257588449,0.29243819,0.343904296,-0.162248822,-0.110918979,0.489454138,-0.591603596,-0.084429424,-0.603681071,0.304340074,0.284331636,1,0.430157791,-0.013916021,-0.275645437,
V28,0.7645592,-0.615168338,0.730224426,-0.579296938,0.692927026,0.178889244,0.732571258,0.124650889,0.678489713,0.703399096,-0.368284061,0.500065507,-0.260379645,0.175312403,0.324557846,0.479749735,0.496702099,0.553661495,-0.249420241,-0.082755191,0.447644299,-0.569389209,-0.199701477,-0.246255496,0.299467494,0.073687116,0.430157791,1,0.069168924,0.113387703,
V29,0.051530632,-0.341505274,0.252378557,-0.37725418,0.052851916,0.214747518,0.207478255,0.092916634,0.247655292,0.197213132,-0.392951782,0.285036748,-0.007330505,0.406678097,0.279583465,0.172753679,0.085076986,0.086862827,-0.065991894,0.008454694,0.173716474,-0.147491233,0.210524891,0.130834957,0.05317198,-0.134453606,-0.013916021,0.069168924,1,-0.156454342,
V30,0.218203803,-0.158040005,0.177146409,-0.26097865,0.204203285,0.216454371,0.173325544,-0.199221309,0.20873652,0.212438433,-0.336859254,0.276044775,-0.296242325,0.191975907,-0.249230805,0.230032442,0.191774308,0.193992159,-0.079874091,-0.265224297,-0.04086018,-0.039504274,-0.094239142,-0.043955076,-0.042195626,0.046864851,-0.275645437,0.113387703,-0.156454342,1,
